"Age" "Total" "Males" "Females" "mort.Males" "mort.Females"
"1" 20 63484 32787 30697 0.000145938631964739 7.85425215066114e-05
"2" 21 63507 32685 30822 0.000164678372356324 8.80308141070147e-05
"3" 22 69955 35886 34069 0.000185824452078462 9.8665335460251e-05
"4" 23 74633 38572 36061 0.0002096858652182 0.000110584555195067
"5" 24 78427 40622 37805 0.000236611283286551 0.000123943670698991
"6" 25 84805 43678 41127 0.000266994150131438 0.000138916627907413
"7" 26 91540 47071 44469 0.000301278431080048 0.000155698386213148
"8" 27 95714 49172 46542 0.00033996510031913 0.000174507456987335
"9" 28 97779 50539 47240 0.000383619461309157 0.000195588748765175
"10" 29 95685 49181 46504 0.000432879407200866 0.000219216756142995
"11" 30 97743 50336 47407 0.000488464741958336 0.000245699133908533
"12" 31 95315 49354 45961 0.000551187698392196 0.000275380702942367
"13" 32 96502 50353 46149 0.00062196480679623 0.000308647940050383
"14" 33 96302 49845 46457 0.000701830287616136 0.00034593401018837
"15" 34 96013 50128 45885 0.00079195116384893 0.000387724406602138
"16" 35 97536 50772 46764 0.000893644314000755 0.000434563272322144
"17" 36 98712 51252 47460 0.00100839571478705 0.00048706048532331
"18" 37 104445 54176 50269 0.00113788215475629 0.000545899599604268
"19" 38 104570 53855 50715 0.00128399573612454 0.000611846745584963
"20" 39 108288 55724 52564 0.00144887152285035 0.000685760605712639
"21" 40 110490 57023 53467 0.00163491873895373 0.00076860359516624
"22" 41 110824 57038 53786 0.00184485597295995 0.000861454393240572
"23" 42 114176 58676 55500 0.00208175090288835 0.000965521988578487
"24" 43 107024 54648 52376 0.00234906512226174 0.00108216142113076
"25" 44 100279 51805 48474 0.00265070472215018 0.00121289142581609
"26" 45 102569 52836 49733 0.00299107736837207 0.00135941420761519
"27" 46 105401 54393 51008 0.00337515670788499 0.00152363760558583
"28" 47 107755 55094 52661 0.00380855504549557 0.0017076999343915
"29" 48 104977 53365 51612 0.00429760535286648 0.00191399782679915
"30" 49 92090 46706 45384 0.00484945380816555 0.00214521743967697
"31" 50 90660 46101 44559 0.00547216421857944 0.00240436942981814
"32" 51 92010 46278 45732 0.00617483585155098 0.00269482815500255
"33" 52 95338 47837 47501 0.0069677363965326 0.00302037561072457
"34" 53 95954 48108 47846 0.00786245200014031 0.00338525067467658
"35" 54 96586 47946 48640 0.00887205656707583 0.00379420430018936
"36" 55 99038 49125 49913 0.0100113028007025 0.00425256137729026
"37" 56 98549 48736 49813 0.011296837774828 0.00476629006685759
"38" 57 96312 46993 49319 0.0127474461867067 0.00534207951065504
"39" 58 97321 47030 50291 0.0143843248457604 0.00598742692909065
"40" 59 97514 46712 50802 0.0162313924089462 0.00671073524077968
"41" 60 100853 48095 52758 0.0183156388887342 0.00752142247499327
"42" 61 100379 46935 53444 0.02144 0.00968
"43" 62 97666 45571 52095 0.02388 0.01002
"44" 63 98178 45460 52718 0.02573 0.00992
"45" 64 96230 43732 52498 0.0268 0.01213
"46" 65 92877 41757 51120 0.02955 0.0119
"47" 66 105052 46608 58444 0.03258 0.01318
"48" 67 100502 44317 56185 0.03545 0.01444
"49" 68 95189 41132 54057 0.03648 0.01687
"50" 69 89601 38244 51357 0.03978 0.01785
"51" 70 91243 38889 52354 0.03947 0.01968
"52" 71 79853 33222 46631 0.04301 0.02221
"53" 72 71288 29544 41744 0.04856 0.02505
"54" 73 69163 28207 40956 0.05194 0.02726
"55" 74 65886 26555 39331 0.05548 0.0294
"56" 75 61212 24254 36958 0.05798 0.03463
"57" 76 58897 23244 35653 0.06263 0.03813
"58" 77 53255 20379 32876 0.06957 0.04362
"59" 78 51169 19461 31708 0.07664 0.04885
"60" 79 49176 18393 30783 0.08382 0.05594
"61" 80 48098 17747 30351 0.09369 0.06556
"62" 81 43267 15905 27362 0.10564 0.07706
"63" 82 43464 15592 27872 0.10977 0.0811
"64" 83 37599 13531 24068 0.11927 0.09529
"65" 84 34264 12235 22029 0.12652 0.10837
"66" 85 26306 9299 17007 0.14376 0.11694
"67" 86 24082 8428 15654 0.16369 0.14464
"68" 87 18932 6663 12269 0.18222 0.14708
"69" 88 15963 5378 10585 0.18475 0.17149
"70" 89 11913.47 3909.01 8004.46 0.21596 0.18954
"71" 90 10196.28 3360.06 6836.22 0.23818 0.2241
"72" 91 7491.93 2345.96 5145.97 0.25967 0.23089
"73" 92 5573.98 1715.66 3858.32 0.26236 0.24472
"74" 93 3742.9 1160.81 2582.09 0.29045 0.26381
"75" 94 2682.59 799.22 1883.37 0.29926 0.27642
"76" 95 1798.87 559.77 1239.1 0.32297 0.31804
"77" 96 1130.82 314.39 816.43 0.3428 0.34155
"78" 97 684.07 209.19 474.88 0.36256 0.36498
"79" 98 242.72 81.01 161.71 0.38212 0.3881
"80" 99 107.19 31.09 76.1 0.40134 0.41068
