"Age" "Total" "Males" "Females" "mort.Males" "mort.Females"
"1" 20 733775 374903 358872 9.61194014318858e-05 7.38855345850689e-05
"2" 21 738437 375494 362943 0.000107537450958761 8.18666662899124e-05
"3" 22 726434 367534 358900 0.00012031185365738 9.07099215978099e-05
"4" 23 698778 351171 347607 0.000134603731085514 0.000100508427290079
"5" 24 695591 348260 347331 0.000150593344474084 0.000111365369723448
"6" 25 726184 362555 363629 0.000168482368334074 0.000123395081467607
"7" 26 735690 367233 368457 0.000188496434145823 0.00013672424532158
"8" 27 750443 371994 378449 0.000210887976213858 0.000151493228388225
"9" 28 759867 372508 387359 0.000235939415581578 0.000167857560255733
"10" 29 772300 378706 393594 0.000263966722164022 0.000185989570852642
"11" 30 776138 379000 397138 0.000295323400027352 0.000206080205224288
"12" 31 792161 385286 406875 0.000330404946080747 0.000228341034341826
"13" 32 790445 385221 405224 0.000369653838417515 0.000253006483119273
"14" 33 785123 383140 401983 0.000413565117222573 0.000280336299101443
"15" 34 776939 378923 398016 0.000462692628637442 0.0003106182878201
"16" 35 827236 404664 422572 0.000517656010335634 0.000344171343623883
"17" 36 837002 410258 426744 0.000579148506916416 0.000381348807899146
"18" 37 847502 415911 431591 0.0006479457136913 0.000422542190046552
"19" 38 803128 393910 409218 0.000724915359147287 0.000468185290398377
"20" 39 786530 387363 399167 0.000811028249471536 0.000518758768494249
"21" 40 791364 392378 398986 0.00090737051317907 0.000574795204823041
"22" 41 771910 381880 390030 0.00101515730028309 0.000636884709335231
"23" 42 792994 393190 399804 0.00113574810879344 0.000705681135788002
"24" 43 834611 414000 420611 0.00127066393185387 0.000781908967365277
"25" 44 880515 436146 444369 0.00142160644179244 0.00086637094608393
"26" 45 900357 446859 453498 0.00159047945305036 0.000959956526330147
"27" 46 896426 446238 450188 0.00177941293469793 0.00106365124154864
"28" 47 876719 435047 441672 0.00199078987540372 0.00117854708272369
"29" 48 865478 428694 436784 0.00222727633970063 0.00130585399794601
"30" 49 854776 421481 433295 0.00249185509464388 0.0014469126341653
"31" 50 851187 420264 430923 0.00278786323098879 0.00160320845530982
"32" 51 869374 428345 441029 0.00311903425339827 0.00177638738544823
"33" 52 871423 428334 443089 0.00348954517055749 0.00196827314172927
"34" 53 879622 430930 448692 0.00390406917913581 0.00218088643962942
"35" 54 867932 424287 443645 0.00436783460609084 0.0024164662727556
"36" 55 836957 408623 428334 0.00488669085274451 0.00267749349129686
"37" 56 838794 409426 429368 0.00546718217237373 0.00296671692742558
"38" 57 833765 405054 428711 0.00611663021186085 0.00328718234277032
"39" 58 830158 401725 428433 0.00684322635848897 0.00364226450280097
"40" 59 812574 391114 421460 0.00765613505663788 0.00403570271589614
"41" 60 805816 386903 418913 0.00856560939749805 0.00447164021134833
"42" 61 798219 381252 416967 0.01027 0.00465
"43" 62 789787 375355 414432 0.01124 0.00511
"44" 63 785606 373814 411792 0.01207 0.00542
"45" 64 769374 365504 403870 0.01278 0.00574
"46" 65 779869 370126 409743 0.01316 0.00623
"47" 66 758750 359875 398875 0.0142 0.00674
"48" 67 784143 371139 413004 0.0149 0.00713
"49" 68 769195 362241 406954 0.01659 0.00765
"50" 69 764176 360149 404027 0.01732 0.00792
"51" 70 745443 350292 395151 0.01792 0.00878
"52" 71 700673 326375 374298 0.01977 0.00961
"53" 72 523459 241684 281775 0.02118 0.01042
"54" 73 509757 234390 275367 0.02335 0.01134
"55" 74 492435 224967 267468 0.02493 0.01306
"56" 75 452094 205810 246284 0.027 0.01415
"57" 76 399556 179357 220199 0.02925 0.01555
"58" 77 410474 180896 229578 0.03292 0.0177
"59" 78 426046 184864 241182 0.03597 0.01967
"60" 79 410038 175462 234576 0.04068 0.02281
"61" 80 395001 165959 229042 0.04406 0.02582
"62" 81 387834 159673 228161 0.05032 0.03
"63" 82 365289 145945 219344 0.05541 0.03342
"64" 83 359025 140380 218645 0.06461 0.039
"65" 84 329575 125510 204065 0.07138 0.04535
"66" 85 320878 118385 202493 0.08249 0.05265
"67" 86 293078 104787 188291 0.09306 0.06122
"68" 87 270460 92852 177608 0.10508 0.0714
"69" 88 229579 76081 153498 0.12138 0.08134
"70" 89 204115.72 64952.93 139162.79 0.13694 0.09589
"71" 90 176064.54 53152.75 122911.79 0.15313 0.10916
"72" 91 151968.28 43902.87 108065.41 0.17009 0.12332
"73" 92 127317.3 34475.11 92842.19 0.18983 0.13773
"74" 93 101541.32 25817.95 75723.37 0.20818 0.15712
"75" 94 82898.34 19953.27 62945.07 0.22474 0.17688
"76" 95 64623.01 14518.55 50104.46 0.25127 0.1966
"77" 96 50364.42 10624.63 39739.79 0.27427 0.21904
"78" 97 36613.94 7187.53 29426.41 0.29787 0.24272
"79" 98 15869.3 2932.2 12937.1 0.32184 0.26742
"80" 99 9635.01 1543.96 8091.05 0.34592 0.29291
