"Age" "Total" "Males" "Females" "mort.Males" "mort.Females"
"1" 20 808327 415084.5 393242.5 0.000168649424792303 9.06918162746308e-05
"2" 21 826137 425925.5 400211.5 0.000185260762753055 0.000100200002177379
"3" 22 834526 429790.5 404735.5 0.00020350825541274 0.000110705032149139
"4" 23 854539 438460.5 416078.5 0.00022355305789355 0.000122311415936364
"5" 24 872375.5 445502.5 426873 0.000245572198494845 0.000135134620151722
"6" 25 890482 451258.5 439223.5 0.000269760142141771 0.000149302216998709
"7" 26 915591.5 463772.5 451819 0.000296330507827726 0.00016495515342924
"8" 27 917433.5 466409 451024.5 0.000325517955218487 0.000182249153360526
"9" 28 905174.5 457779 447395.5 0.000357580257079797 0.000201356266901213
"10" 29 905900 454366 451534 0.000392800575831314 0.000222466581999354
"11" 30 898753.5 447399 451354.5 0.000431489964332625 0.000245790115540612
"12" 31 890699.5 443568 447131.5 0.000473990112987321 0.000271558902710353
"13" 32 894479 447561.5 446917.5 0.000520676367426575 0.000300029305405759
"14" 33 883480.5 440546.5 442934 0.000571961043423253 0.000331484562663281
"15" 34 875408 434594.5 440813.5 0.000628297068312686 0.000366237608474489
"16" 35 877715 434472.5 443242.5 0.000690181981079776 0.000404634185023454
"17" 36 880884 436191.5 444692.5 0.000758162326439724 0.000447056282317876
"18" 37 883770.5 438244.5 445526 0.000832838481719293 0.000493925938433244
"19" 38 865549 430019.5 435529.5 0.00091486995916783 0.000545709438176943
"20" 39 819299.5 407819 411480.5 0.0010049812305261 0.000602921951942888
"21" 40 784546 390636.5 393909.5 0.0011039681252934 0.000666132660906545
"22" 41 785415 390262 395153 0.00121270485920003 0.000735970419548543
"23" 42 800759.5 396713 404046.5 0.00133215175495806 0.000813130011840764
"24" 43 815084.5 403538.5 411546 0.00146336372347718 0.000898379063334829
"25" 44 840574.5 416485 424089.5 0.00160749958044865 0.000992565677918203
"26" 45 877319.5 434669.5 442650 0.00176583228057784 0.00109662687521252
"27" 46 910245 449296 460949 0.00193976015985052 0.00121159791255393
"28" 47 913912 449822.5 464089.5 0.00213081928512036 0.00133862258429565
"29" 48 914185.5 449895.5 464290 0.00234069702008454 0.00147896460089567
"30" 49 925503.5 455359 470144.5 0.00257124692745739 0.00163402016099514
"31" 50 931762 459509.5 472252.5 0.00282450513895227 0.00180533184156104
"32" 51 937138.5 461737 475401.5 0.00310270833764564 0.00199460394428015
"33" 52 939930.5 461919.5 478011 0.00340831351153667 0.00220371945087825
"34" 53 938644.5 461559 477085.5 0.00374401965275866 0.00243475875604558
"35" 54 923700 454608 469092 0.0041127915940817 0.00269002036433363
"36" 55 902973.5 445221 457752.5 0.0045178861932217 0.00297204375692742
"37" 56 877104.5 432871.5 444233 0.00496288109620606 0.00328363465578424
"38" 57 844108 416277.5 427830.5 0.00545170633382328 0.00362789293648027
"39" 58 816775 402238.5 414536.5 0.00598867903020476 0.00400824346745726
"40" 59 798105.5 392683 405422.5 0.00657854153007223 0.00442847018247479
"41" 60 774083 380631.5 393451.5 0.00722650328137646 0.00489275372523948
"42" 61 744893 365935 378958 0.0085 0.00558
"43" 62 716707.5 351414 365293.5 0.00918 0.00624
"44" 63 702648.5 343357.5 359291 0.01041 0.0068
"45" 64 697554.5 340257.5 357297 0.01069 0.00729
"46" 65 680752.5 331315 349437.5 0.0122 0.00828
"47" 66 671155 325567.5 345587.5 0.01339 0.00867
"48" 67 677863 327796.5 350066.5 0.0143 0.00934
"49" 68 690549.5 333736.5 356813 0.01599 0.01054
"50" 69 714696.5 345049 369647.5 0.01767 0.01113
"51" 70 759560 366161.5 393398.5 0.01895 0.01295
"52" 71 695541.5 334386.5 361155 0.02053 0.01364
"53" 72 593297 283541 309756 0.02194 0.01533
"54" 73 578983 275705 303278 0.02567 0.01701
"55" 74 553948 262006.5 291941.5 0.0287 0.01993
"56" 75 501662.5 234737.5 266925 0.03151 0.02179
"57" 76 445958 206440 239518 0.03494 0.02403
"58" 77 425141 195489.5 229651.5 0.03954 0.02786
"59" 78 424156 193928.5 230227.5 0.0437 0.0312
"60" 79 409336.5 185757 223579.5 0.04828 0.03483
"61" 80 385852.5 173014.5 212838 0.05396 0.03841
"62" 81 358985 158479.5 200505.5 0.061 0.04467
"63" 82 332370 144773.5 187596.5 0.06667 0.04904
"64" 83 302824 129771 173053 0.07593 0.05722
"65" 84 274260.5 115049 159211.5 0.0845 0.06335
"66" 85 252941 103787.5 149153.5 0.09422 0.0727
"67" 86 231422 92537.5 138884.5 0.10904 0.08366
"68" 87 206154.5 79747.5 126407 0.11998 0.09568
"69" 88 178103 66717.5 111385.5 0.13507 0.1089
"70" 89 153407.12 56622.57 96784.55 0.15046 0.11986
"71" 90 127135.75 45117.37 82018.38 0.16214 0.13694
"72" 91 108632.12 37137.29 71494.83 0.17973 0.15338
"73" 92 87833.52 28530.83 59302.69 0.19976 0.16909
"74" 93 70001.02 21419.91 48581.11 0.21599 0.18783
"75" 94 55009.13 15767.79 39241.34 0.23907 0.20742
"76" 95 41875.97 11297.08 30578.89 0.2594 0.22856
"77" 96 32359.03 8165.92 24193.11 0.28077 0.25053
"78" 97 25329.68 5854.18 19475.5 0.30259 0.27329
"79" 98 12944.09 2813.19 10130.9 0.32467 0.29665
"80" 99 7491.48 1479.24 6012.24 0.34684 0.32038
