"Age" "Total" "Males" "Females" "mort.Males" "mort.Females"
"1" 20 111759 57469 54290 5.06905231777923e-05 3.90836411416836e-05
"2" 21 117880 60527 57353 5.88347850908261e-05 4.47100879967824e-05
"3" 22 120596 61773 58823 6.82875559311687e-05 5.11465132287292e-05
"4" 23 121571 62366 59205 7.92590690669423e-05 5.85095206174685e-05
"5" 24 124854 64452 60402 9.1993335296556e-05 6.69325001212995e-05
"6" 25 128617 66372 62245 0.000106773569745525 7.65680444004569e-05
"7" 26 126630 65077 61553 0.000123928490683057 8.75907132213141e-05
"8" 27 122681 63433 59248 0.000143839630346574 0.000100200195821806
"9" 28 121556 62891 58665 0.000166949820369819 0.000114624928528212
"10" 29 121079 62515 58564 0.000193773040533809 0.000131126233160898
"11" 30 122065 62534 59531 0.000224905849880776 0.000150003051201329
"12" 31 123089 63258 59831 0.00026104065442359 0.000171597359485641
"13" 32 118253 60044 58209 0.000302981106529771 0.000196300365536721
"14" 33 120175 60863 59312 0.000351659978468507 0.00022455959477089
"15" 34 126727 64555 62172 0.000408159907635426 0.00025688699797267
"16" 35 135440 68174 67266 0.000473737474837157 0.000293868225914547
"17" 36 142023 71613 70410 0.00054985115114625 0.00033617323914288
"18" 37 152007 76795 75212 0.000638193734875591 0.000384568445139349
"19" 38 158899 80286 78613 0.000740730000083466 0.000439930582737548
"20" 39 166770 84319 82451 0.00085974039392695 0.000503262605328082
"21" 40 173851 88286 85565 0.000997871754710053 0.000575711850595997
"22" 41 181329 91861 89468 0.00115819617861613 0.000658590825957743
"23" 42 173293 87515 85778 0.00134427934434398 0.000753400986251504
"24" 43 146552 73965 72587 0.00156025981521463 0.000861859934443057
"25" 44 144283 72792 71491 0.00181094108245901 0.000985932538121504
"26" 45 142000 71630 70370 0.00210189839676585 0.00112786652549856
"27" 46 143673 72276 71397 0.00243960276406554 0.00129023320577684
"28" 47 144083 72486 71597 0.00283156486326549 0.00147597405158675
"29" 48 143849 71746 72103 0.00328650208672427 0.00168845398739039
"30" 49 137234 68205 69029 0.00381453241851104 0.00193152234923756
"31" 50 124636 61945 62691 0.00442739946237936 0.00220958262023493
"32" 51 119564 59105 60459 0.00513873362416681 0.00252767220507258
"33" 52 117488 57755 59733 0.0059643552574204 0.00289155368882163
"34" 53 115624 56434 59190 0.00692262651432652 0.00330781923326877
"35" 54 111831 54056 57775 0.00803485972724959 0.00378401000205595
"36" 55 118230 56664 61566 0.00932579140344655 0.00432875277815884
"37" 56 122687 58418 64269 0.0108241323747874 0.00495191624869834
"38" 57 122414 57437 64977 0.0125632063380294 0.00566478978837697
"39" 58 126797 59294 67503 0.0145816909870343 0.00648028798042275
"40" 59 129938 60361 69577 0.0169244782200009 0.00741318458018959
"41" 60 145292 66644 78648 0.0196436725530653 0.00848038015995327
"42" 61 155007 70806 84201 0.02274 0.00983
"43" 62 159321 72313 87008 0.02407 0.01079
"44" 63 144099 64640 79459 0.0265 0.01167
"45" 64 127655 56375 71280 0.02951 0.01274
"46" 65 127203 55140 72063 0.03062 0.01363
"47" 66 126932 55116 71816 0.03103 0.01394
"48" 67 119561 51443 68118 0.03529 0.01544
"49" 68 115385 48912 66473 0.03546 0.01741
"50" 69 108787 45800 62987 0.03713 0.01917
"51" 70 93725 39049 54676 0.04097 0.0197
"52" 71 89007 36084 52923 0.04073 0.02069
"53" 72 98594 39669 58925 0.0468 0.0227
"54" 73 88184 34900 53284 0.0478 0.02602
"55" 74 87663 33819 53844 0.05135 0.02735
"56" 75 78724 29860 48864 0.05742 0.03168
"57" 76 76961 28082 48879 0.05956 0.03471
"58" 77 68477 24325 44152 0.06741 0.03988
"59" 78 64659 22209 42450 0.07466 0.04477
"60" 79 59079 19492 39587 0.07787 0.05194
"61" 80 54281 17322 36959 0.08469 0.05777
"62" 81 50857 16250 34607 0.09458 0.06682
"63" 82 46745 14850 31895 0.10527 0.07616
"64" 83 43772 13664 30108 0.11704 0.08581
"65" 84 39465 11820 27645 0.12266 0.09048
"66" 85 34385 10186 24199 0.13768 0.10692
"67" 86 31613 9142 22471 0.13999 0.12147
"68" 87 25705 7340 18365 0.16347 0.13708
"69" 88 21706 5722 15984 0.17553 0.14632
"70" 89 18907.61 4946.94 13960.67 0.1833 0.15847
"71" 90 15694.43 3844.77 11849.66 0.19274 0.17495
"72" 91 12470.09 2983.22 9486.87 0.20631 0.1851
"73" 92 8725.5 2176.86 6548.64 0.2261 0.20084
"74" 93 6954.32 1658.43 5295.89 0.23562 0.2252
"75" 94 5238.13 1167.26 4070.87 0.23314 0.23267
"76" 95 3613.46 842.21 2771.25 0.27519 0.26359
"77" 96 2381.84 502.45 1879.39 0.29191 0.28376
"78" 97 1433.8 315.6 1118.2 0.30884 0.30431
"79" 98 537.59 99.84 437.75 0.32591 0.32508
"80" 99 325.06 71.08 253.98 0.34301 0.34592
