"Age" "Total" "Males" "Females" "mort.Males" "mort.Females"
"1" 20 4256267.4 2176182.94 2080084.46 0.000238988145521908 0.000155692765528158
"2" 21 4269014.78 2181437.34 2087577.44 0.000262799495149574 0.000170942161457374
"3" 22 4298369.96 2197763.99 2100605.97 0.000288983265257983 0.000187685166132104
"4" 23 4370783.38 2239312.71 2131470.67 0.000317775829636334 0.000206068071713364
"5" 24 4470299.81 2292442.37 2177857.44 0.000349437112944625 0.000226251499011782
"6" 25 4554639.92 2337331.88 2217308.04 0.00038425293718158 0.000248411800913449
"7" 26 4652752.71 2385414.35 2267338.36 0.000422537601940608 0.000272742603264916
"8" 27 4757678.28 2428849.56 2328828.72 0.000464636721747038 0.000299456496680855
"9" 28 4795549.51 2438503.06 2357046.45 0.000510930346090664 0.000328786894056555
"10" 29 4695396.06 2383758.78 2311637.28 0.000561836390319682 0.000360990070015293
"11" 30 4545134.92 2305185.18 2239949.74 0.000617814408368369 0.000396347400110269
"12" 31 4450134.83 2255099.05 2195035.78 0.000679369741376801 0.000435167819346152
"13" 32 4416413.77 2236626.28 2179787.49 0.00074705807965422 0.000477790521501592
"14" 33 4437062.1 2242271.72 2194790.38 0.00082149047916915 0.000524587922838052
"15" 34 4380511.56 2205479.78 2175031.78 0.000903338877852599 0.000575968916090408
"16" 35 4338534.49 2177358.69 2161175.8 0.000993342161512707 0.00063238244317106
"17" 36 4362871.98 2184930.41 2177941.57 0.00109231283412087 0.000694321417804128
"18" 37 4330288.8 2164429.65 2165859.15 0.00120114435268527 0.000762327032363755
"19" 38 4341266.16 2171928.07 2169338.09 0.00132081919292734 0.00083699348654757
"20" 39 4242840.82 2121456.84 2121383.98 0.00145241771857405 0.000918973179202146
"21" 40 4062518.09 2024818.18 2037699.91 0.00159712793433332 0.00100898240866406
"22" 41 3997502.99 1987863.85 2009639.14 0.0017562562105977 0.00110780763142337
"23" 42 3915275.47 1944060.51 1971214.96 0.00193123907669333 0.00121631233379458
"24" 43 3911840.85 1944407.17 1967433.68 0.00212365618913768 0.00133544457663645
"25" 44 3905148.36 1938897.92 1966250.44 0.002335244591977 0.0014662452790427
"26" 45 3866980.25 1912492.15 1954488.1 0.0025679143979385 0.00160985731338236
"27" 46 3977689.4 1965196.43 2012492.97 0.00282376603195867 0.00176753549115789
"28" 47 4175306.48 2063367.63 2111938.85 0.00310510919275377 0.00194065752693247
"29" 48 4312709.02 2134418.92 2178290.1 0.00341448370360775 0.00213073607612399
"30" 49 4221017.05 2090526.35 2130490.7 0.00375468244060794 0.002339431951846
"31" 50 4059116.21 2006639.75 2052476.46 0.00412877654531313 0.00256856863627792
"32" 51 4011928.91 1978555.8 2033373.11 0.00454014314946105 0.0028201482133578
"33" 52 4044916 1991273.36 2053642.64 0.00499249586199992 0.00309636886200951
"34" 53 4198029.5 2064985.84 2133043.66 0.0054899182936655 0.00339964406275184
"35" 54 4352737.5 2134231.85 2218505.65 0.00603690092174654 0.00373262368550726
"36" 55 4381948.88 2140400 2241548.88 0.00663838162783498 0.00409821714286529
"37" 56 4366052.18 2127711.52 2238340.66 0.00729979027451516 0.00449961881110242
"38" 57 4379230.62 2128476.16 2250754.46 0.00802709772340777 0.00494033594107493
"39" 58 4416722.72 2144802.4 2271920.32 0.00882686973707855 0.00542421930285621
"40" 59 4351896.13 2109340.58 2242555.55 0.00970632625141085 0.00595549683187663
"41" 60 4253409.26 2052662.81 2200746.45 0.0106734065535229 0.00653881057054907
"42" 61 4205761.48 2022099.55 2183661.93 0.01236 0.00745
"43" 62 4097169.92 1961544.57 2135625.35 0.01335 0.008
"44" 63 3995295.34 1906059.19 2089236.15 0.01426 0.00846
"45" 64 3885702.02 1845405.66 2040296.36 0.01504 0.00907
"46" 65 3719947.39 1757942.77 1962004.62 0.01617 0.00952
"47" 66 3564529.31 1679719.11 1884810.2 0.01733 0.01031
"48" 67 3428840.17 1610033.29 1818806.88 0.01845 0.01109
"49" 68 3325162.44 1557467.84 1767694.6 0.01934 0.01198
"50" 69 3221545.24 1506567.24 1714978 0.02038 0.01304
"51" 70 3138264.33 1464951.45 1673312.88 0.02216 0.01441
"52" 71 3167479.79 1476707.66 1690772.13 0.02397 0.01603
"53" 72 2794548.88 1297037.64 1497511.24 0.02577 0.01749
"54" 73 2336161.98 1074829.42 1261332.56 0.02816 0.01937
"55" 74 2269318.12 1037216.23 1232101.89 0.03045 0.02083
"56" 75 2240765.61 1017671.7 1223093.91 0.03402 0.02353
"57" 76 2099506.4 947035.26 1152471.14 0.03719 0.02597
"58" 77 1847606.6 824338.9 1023267.7 0.04062 0.02848
"59" 78 1692461.67 747715.16 944746.51 0.04398 0.03115
"60" 79 1571057.7 690086.55 880971.15 0.04826 0.03485
"61" 80 1462402.62 636294.28 826108.34 0.05319 0.03876
